,PT_oxide,formula,space_group,MP_ehull,MP_Eg,E_vac_rerun,vacancy_formation_energy,Eg,E_bulk,group,poscar_name,E_vac_min
0,alkaline_earth_metal_oxides,SrO,Fm-3m,0.0,3.2748,-1285.82981181,6.93071724000008,1.1262,-1298.69100912,SrO_Fm-3m_s1_0,alkaline_earth_metal_oxides_SrO_Fm-3m,-1285.79098999
1,alkaline_earth_metal_oxides,MgO,Fm-3m,0.0,4.4292,-1276.71313828,7.413861650000102,3.0813999999999995,-1290.0574800000002,MgO_Fm-3m_s1_0,alkaline_earth_metal_oxides_MgO_Fm-3m,-1276.50764355
2,alkaline_earth_metal_oxides,CaO,Cmce,0.2097698550000002,2.0869,-972.55942849,6.008323820000145,0.8940999999999999,-984.4982323800001,CaO_Cmce_s6_0,alkaline_earth_metal_oxides_CaO_Cmce,-972.43534879
3,alkaline_earth_metal_oxides,CaO,Cmce,0.2097698550000002,2.0869,-972.56200407,6.005748240000161,0.6704000000000001,-984.4982323800001,CaO_Cmce_s4_0,alkaline_earth_metal_oxides_CaO_Cmce,-972.44195682
4,alkaline_earth_metal_oxides,BaO,P4__nmm,0.1316646424999996,2.7678000000000003,-2026.65792493,-4.427824420000048,0.4505999999999996,-2028.16058058,BaO_P4__nmm_s2_0,alkaline_earth_metal_oxides_BaO_P4__nmm,-2026.80462278
5,alkaline_earth_metal_oxides,BeO,Fm-3m,0.4814747275000002,8.1681,-1549.94631126,8.057376029999817,5.200200000000001,-1563.9341673599997,BeO_Fm-3m_s1_0,alkaline_earth_metal_oxides_BeO_Fm-3m,-1549.74659251
6,alkaline_earth_metal_oxides,BeO,P6_3mc,0.0,7.463900000000001,-1942.69050454,8.105094590000066,5.8189,-1956.7260792,BeO_P6_3mc_s2_0,alkaline_earth_metal_oxides_BeO_P6_3mc,-1942.45593351
7,alkaline_earth_metal_oxides,BaO,P6_3__mmc,0.0257656074999994,2.3602000000000003,-1801.90498257,6.078645600000231,0.4712999999999994,-1813.9141082400001,BaO_P6_3__mmc_s2_0,alkaline_earth_metal_oxides_BaO_P6_3__mmc,-1802.05000891
8,alkaline_earth_metal_oxides,BeO,P4_2__mnm,0.0117376287499997,7.0846,-767.31341883,7.9476908999999285,5.6691,-781.1915898,BeO_P4_2__mnm_s4_0,alkaline_earth_metal_oxides_BeO_P4_2__mnm,-766.77101073
9,alkaline_earth_metal_oxides,CaO,Fm-3m,0.0,3.630100000000001,-920.52759726,7.345083630000021,1.0502000000000002,-933.80316096,CaO_Fm-3m_s1_0,alkaline_earth_metal_oxides_CaO_Fm-3m,-920.38822229
10,alkaline_earth_metal_oxides,BaO,Fm-3m,0.0,2.0906,-2409.26891076,5.776593170000227,3.1624,-2420.975984,BaO_Fm-3m_s8_0,alkaline_earth_metal_oxides_BaO_Fm-3m,-2409.253574
11,alkaline_earth_metal_oxides,MgO,P-6m2,0.3374968550000004,3.0483,-1196.05158136,7.470412819999796,3.1107999999999993,-1209.4524742499998,MgO_P-6m2_s1_0,alkaline_earth_metal_oxides_MgO_P-6m2,-1195.99713643
12,alkaline_earth_metal_oxides,MgO,P6_3mc,0.0741400825000004,3.3701,-1004.35996552,6.669837610000103,2.1742999999999997,-1016.9602832,MgO_P6_3mc_s2_0,alkaline_earth_metal_oxides_MgO_P6_3mc,-1004.3425914
13,alkali_metal_oxides,Li2O,Fm-3m,0.0,4.854,-1333.16065032,7.341256009999755,2.7459,-1346.4323863999998,Li2O_Fm-3m_s2_0,alkali_metal_oxides_Li2O_Fm-3m,-1333.10971181
14,alkali_metal_oxides,Rb2O,Fm-3m,0.0031695866666665,1.3192,-1322.68573883,4.5335681799999055,0.9381999999999996,-1333.14978708,Rb2O_Fm-3m_s5_0,alkali_metal_oxides_Rb2O_Fm-3m,-1322.84240311
15,alkali_metal_oxides,Rb2O,Fm-3m,0.0031695866666665,1.3192,-1322.68527071,4.534036299999956,0.9367,-1333.14978708,Rb2O_Fm-3m_s4_0,alkali_metal_oxides_Rb2O_Fm-3m,-1322.8409609
16,alkali_metal_oxides,K2O,Fm-3m,0.0,1.7072,-764.53743767,4.932977799999934,1.0683,-775.40089554,K2O_Fm-3m_s5_0,alkali_metal_oxides_K2O_Fm-3m,-764.66759839
17,alkali_metal_oxides,K2O,Fm-3m,0.0,1.7072,-764.53459607,4.935819399999945,1.068,-775.40089554,K2O_Fm-3m_s4_0,alkali_metal_oxides_K2O_Fm-3m,-764.66467638
18,alkali_metal_oxides,Cs2O,R-3m,0.0,0.5831999999999997,-1894.25637932,3.769386370000051,0.7563,-1903.95624576,Cs2O_R-3m_s16_0,alkali_metal_oxides_Cs2O_R-3m,-1894.52463189
19,alkali_metal_oxides,Na2O,Fm-3m,0.0,1.8736,-1093.56650835,5.3760458199998755,1.0472,-1104.87303424,Na2O_Fm-3m_s16_0,alkali_metal_oxides_Na2O_Fm-3m,-1093.62011122
20,group_13_metal_oxides,In2O3,Pbca,,,-2299.70996711,4.089690460000087,1.3935999999999993,-2309.73013764,In2O3_Pbca_s32_0,group_13_metal_oxides_In2O3_Pbca_higher_symmetry,-2299.99037107
21,group_13_metal_oxides,In2O3,Pbca,,,-2299.73647364,4.063183930000081,1.4847,-2309.73013764,In2O3_Pbca_s24_0,group_13_metal_oxides_In2O3_Pbca_higher_symmetry,-2300.22441982
22,group_13_metal_oxides,In2O3,Pbca,,,-2299.63722647,4.162431100000207,1.4097,-2309.73013764,In2O3_Pbca_s16_0,group_13_metal_oxides_In2O3_Pbca_higher_symmetry,-2300.00434563
23,group_13_metal_oxides,Tl4O3,P2_1__m,,,-2821.58411364,2.17076241000011,1.3555,-2829.68535612,Tl4O3_P2_1__m_s8_0,group_13_metal_oxides_Tl4O3_P2_1__m_higher_symmetry,-2821.74417906
24,group_13_metal_oxides,Tl4O3,P2_1__m,,,-2821.51186544,2.243010610000214,1.2695000000000007,-2829.68535612,Tl4O3_P2_1__m_s12_0,group_13_metal_oxides_Tl4O3_P2_1__m_higher_symmetry,-2821.78727621
25,group_13_metal_oxides,Tl4O3,P2_1__m,,,-2821.62644552,2.1284305300002178,1.4402,-2829.68535612,Tl4O3_P2_1__m_s10_0,group_13_metal_oxides_Tl4O3_P2_1__m_higher_symmetry,-2821.81364136
26,group_13_metal_oxides,In2O3,Ia-3,,,-2304.63321339,4.152154260000019,1.3743999999999996,-2314.71584772,In2O3_Ia-3_s16_0,group_13_metal_oxides_In2O3_Ia-3_higher_symmetry,-2305.42613765
27,group_13_metal_oxides,Tl2O,R-3m,0.0,0.5717000000000003,-3650.9527041,2.761575830000014,0.5219999999999994,-3659.64476,Tl2O_R-3m_s5_0,group_13_metal_oxides_Tl2O_R-3m,-3649.82498972
28,group_13_metal_oxides,Tl2O,R-3m,0.0,0.5717000000000003,-3650.95226141,2.762018520000014,0.5200000000000005,-3659.64476,Tl2O_R-3m_s4_0,group_13_metal_oxides_Tl2O_R-3m,-3649.82390521
29,group_13_metal_oxides,Tl2O3,Ia-3,,,-4097.65664577,0.17356975999989466,1.2872,-4103.7606956,Tl2O3_Ia-3_s16_0,group_13_metal_oxides_Tl2O3_Ia-3_higher_symmetry,-4098.52587551
30,group_13_metal_oxides,Al2O3,R-3c,0.0,5.853700000000001,-1719.36450443,7.554029380000133,4.7003,-1732.84901388,Al2O3_R-3c_s4_0,group_13_metal_oxides_Al2O3_R-3c,-1719.27885237
31,group_13_metal_oxides,Al2O3,Pna2_1,,,-754.69769504,7.409082650000004,3.9857,-768.03725776,Al2O3_Pna2_1_s18_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-753.90603054
32,group_13_metal_oxides,Al2O3,Pna2_1,,,-755.24480665,6.861971040000002,5.05,-768.03725776,Al2O3_Pna2_1_s19_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-754.41286121
33,group_13_metal_oxides,Al2O3,Pna2_1,,,-754.87164287,7.235134820000029,4.640199999999999,-768.03725776,Al2O3_Pna2_1_s16_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-754.06940511
34,group_13_metal_oxides,Al2O3,Pna2_1,,,-754.72941665,7.377361040000027,4.290400000000001,-768.03725776,Al2O3_Pna2_1_s21_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-753.90539297
35,group_13_metal_oxides,Al2O3,Pna2_1,,,-754.81654982,7.290227870000011,4.722100000000001,-768.03725776,Al2O3_Pna2_1_s17_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-753.996535
36,group_13_metal_oxides,Al2O3,Pna2_1,,,-754.75452083,7.352256859999942,4.436299999999999,-768.03725776,Al2O3_Pna2_1_s28_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-753.92201983
37,group_13_metal_oxides,In2O3,Pbcn,0.0495181169999998,0.7626999999999997,-2298.50837714,4.145293430000196,1.4895000000000005,-2308.58415064,In2O3_Pbcn_s8_0,group_13_metal_oxides_In2O3_Pbcn,-2298.93683536
38,group_13_metal_oxides,In2O3,Pbcn,0.0495181169999998,0.7626999999999997,-2298.5059995,4.147671070000046,1.4905999999999988,-2308.58415064,In2O3_Pbcn_s9_0,group_13_metal_oxides_In2O3_Pbcn,-2298.94191843
39,group_13_metal_oxides,In2O3,Pbcn,0.0495181169999998,0.7626999999999997,-2298.63526706,4.018403510000256,1.6546999999999992,-2308.58415064,In2O3_Pbcn_s16_0,group_13_metal_oxides_In2O3_Pbcn,-2299.40727019
40,group_13_metal_oxides,Ga2O3,R-3c,0.0297935599999963,2.4025,-1830.83021115,5.251964159999874,2.2523,-1842.0126553799998,Ga2O3_R-3c_s4_0,group_13_metal_oxides_Ga2O3_R-3c,-1830.61328657
41,group_13_metal_oxides,In2O3,R-3c,,,-2590.2690908,4.151322490000142,1.2653999999999996,-2600.35089336,In2O3_R-3c_s4_0,group_13_metal_oxides_In2O3_R-3c_higher_symmetry,-2590.58677842
42,group_13_metal_oxides,Tl2O,C2__m,0.0028308533333332,0.8411999999999997,-3651.0677226,2.4290741300002754,0.5395000000000003,-3659.4272768,Tl2O_C2__m_s5_0,group_13_metal_oxides_Tl2O_C2__m,-3649.92266257
43,group_13_metal_oxides,Tl2O,C2__m,0.0028308533333332,0.8411999999999997,-3651.06601417,2.430782560000056,0.5393999999999997,-3659.4272768,Tl2O_C2__m_s4_0,group_13_metal_oxides_Tl2O_C2__m,-3649.922644
44,group_13_metal_oxides,Al2O3,C2__m,,,-1523.32892303,7.394547940000097,3.8391,-1536.65395104,Al2O3_C2__m_s8_0,group_13_metal_oxides_Al2O3_C2__m_higher_symmetry,-1523.05109304
45,group_13_metal_oxides,Al2O3,C2__m,,,-1523.85089601,6.872574959999996,4.2277,-1536.65395104,Al2O3_C2__m_s6_0,group_13_metal_oxides_Al2O3_C2__m_higher_symmetry,-1523.55099837
46,group_13_metal_oxides,Al2O3,C2__m,,,-1523.54206633,7.181404640000141,3.829099999999999,-1536.65395104,Al2O3_C2__m_s4_0,group_13_metal_oxides_Al2O3_C2__m_higher_symmetry,-1523.26879661
47,group_13_metal_oxides,Ga2O3,C2__m,0.0,2.0077999999999996,-1628.37115682,4.878842150000013,1.9365999999999992,-1639.18047904,Ga2O3_C2__m_s8_0,group_13_metal_oxides_Ga2O3_C2__m,-1627.84925968
48,group_13_metal_oxides,Ga2O3,C2__m,0.0,2.0077999999999996,-1628.11748251,5.132516459999964,1.8141,-1639.18047904,Ga2O3_C2__m_s6_0,group_13_metal_oxides_Ga2O3_C2__m,-1627.60217686
49,group_13_metal_oxides,Ga2O3,C2__m,0.0,2.0077999999999996,-1628.88487109,4.365127879999976,2.4068,-1639.18047904,Ga2O3_C2__m_s4_0,group_13_metal_oxides_Ga2O3_C2__m,-1628.26976069
50,group_13_metal_oxides,Al2O3,Pbcn,0.0933559135000008,5.313199999999999,-748.60448233,7.510934919999999,4.314299999999999,-762.04589732,Al2O3_Pbcn_s8_0,group_13_metal_oxides_Al2O3_Pbcn,-748.37373963
51,group_13_metal_oxides,Al2O3,Pbcn,0.0933559135000008,5.313199999999999,-748.80022084,7.315196410000043,4.2193000000000005,-762.04589732,Al2O3_Pbcn_s16_0,group_13_metal_oxides_Al2O3_Pbcn,-748.5125266
